icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category,timestamp
a7f05c,N610SP  ,United States,1748882515,1748882515,-122.2516,37.5133,0.0,False,4.4,249.44,0.0,,-30.48,,False,0,0,2025-06-02 16:41:56
a693c4,N52272  ,United States,1748882515,1748882515,-122.1125,37.6403,182.88,False,38.21,223.36,3.9,,175.26,1200.0,False,0,0,2025-06-02 16:41:56
ac6f2d,N900AA  ,United States,1748882514,1748882515,-121.4106,38.3272,274.32,False,31.91,290.77,-1.63,,243.84,,False,0,0,2025-06-02 16:41:56
acbaf8,N91934  ,United States,1748882515,1748882515,-122.0852,37.6129,373.38,False,47.43,176.27,1.95,,342.9,,False,0,0,2025-06-02 16:41:56
a75d57,CXK1094 ,United States,1748882263,1748882263,-121.4694,38.4896,335.28,False,44.4,349.99,-0.33,,281.94,,False,0,0,2025-06-02 16:41:56
a120a6,N172AL  ,United States,1748882515,1748882515,-122.0449,37.5212,480.06,False,46.52,231.74,-2.28,,449.58,1200.0,False,0,0,2025-06-02 16:41:56
a62248,N4947G  ,United States,1748882511,1748882514,-121.4508,37.6778,342.9,False,49.56,131.63,-0.65,,289.56,,False,0,0,2025-06-02 16:41:56
a59172,BYF19   ,United States,1748882515,1748882516,-122.2478,37.526,396.24,False,43.36,138.37,2.93,,358.14,,False,0,0,2025-06-02 16:41:56
a3c666,N342TA  ,United States,1748882515,1748882515,-121.6599,38.1111,914.4,False,45.23,19.26,0.0,,906.78,,False,0,0,2025-06-02 16:41:56
a9f03a,N74AJ   ,United States,1748882354,1748882354,-121.2897,37.7619,0.0,False,13.12,115.56,-5.85,,,,False,0,0,2025-06-02 16:41:56
ae2694,C6562   ,United States,1748882515,1748882515,-122.3939,37.5622,358.14,False,49.77,330.26,0.0,,335.28,346.0,False,0,13,2025-06-02 16:41:56
aa34d9,N757JG  ,United States,1748882515,1748882515,-121.2854,38.4034,365.76,False,42.97,301.79,0.33,,358.14,,False,0,0,2025-06-02 16:41:56
aa34d6,N757JD  ,United States,1748882515,1748882515,-122.1068,37.6528,121.92,False,37.68,122.17,3.58,,83.82,,False,0,0,2025-06-02 16:41:56
aa32e4,N7561X  ,United States,1748882515,1748882515,-122.0639,37.9758,182.88,False,45.09,196.57,5.2,,114.3,,False,0,0,2025-06-02 16:41:56
ad129d,,United States,1748882208,1748882208,-122.0588,37.9901,,True,4.63,25.31,,,,,False,0,0,2025-06-02 16:41:56
aad96c,N79893  ,United States,1748882515,1748882515,-121.4696,38.132,579.12,False,47.65,45.44,-0.65,,518.16,,False,0,0,2025-06-02 16:41:56
aab31a,N789MT  ,United States,1748882515,1748882515,-121.8448,38.1233,640.08,False,39.7,238.78,-3.58,,609.6,,False,0,0,2025-06-02 16:41:56
a68631,N5197F  ,United States,1748882515,1748882515,-121.6306,37.8349,60.96,False,45.13,313.15,3.25,,30.48,,False,0,0,2025-06-02 16:41:56
a98d3b,N714ZU  ,United States,1748882492,1748882492,-121.4797,38.3535,175.26,False,32.81,311.19,-2.28,,228.6,,False,0,0,2025-06-02 16:41:56
