icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,squawk,spi,position_source,category,other,timestamp
c07d0b,CGVJE   ,Canada,1751325188.0,1751325190,-74.5442,45.1769,487.68,False,50.91,194.04,-3.58,,434.34,,False,0,2025-06-30 23:13:37
a5f852,RTY484  ,United States,1751325216.0,1751325216,-104.4139,40.6695,2148.84,False,56.11,31.5,0.65,,2255.52,,False,0,2025-06-30 23:13:37
a3b87f,DAL1765 ,United States,1751325217.0,1751325217,-95.065,42.5987,10668.0,False,261.95,88.42,0.0,,11094.72,4330,False,0,2025-06-30 23:13:37
aaf633,UAL1208 ,United States,1751325216.0,1751325217,-112.2877,40.6971,10965.18,False,228.63,277.11,0.0,,11536.68,1411,False,0,2025-06-30 23:13:37
a5f845,N484JH  ,United States,1751325216.0,1751325216,-89.0693,33.5243,10363.2,False,166.8,201.34,0.0,,11003.28,0124,False,0,2025-06-30 23:13:37
ac4963,DAL675  ,United States,1751325216.0,1751325217,-102.9163,41.5754,10058.4,False,251.88,127.2,0.0,,10568.94,,False,0,2025-06-30 23:13:37
aae316,AAL3201 ,United States,1751325211.0,1751325216,-112.0897,37.3733,10972.8,False,234.18,233.31,0.0,,11582.4,6776,False,0,2025-06-30 23:13:37
a36898,DAL1378 ,United States,1751325216.0,1751325216,-83.4233,39.4013,9753.6,False,231.25,330.7,0.0,,10302.24,3662,False,0,2025-06-30 23:13:37
acdfa3,ASA535  ,United States,1751325217.0,1751325217,-106.3353,41.4942,10363.2,False,229.87,297.6,0.33,,10927.08,1474,False,0,2025-06-30 23:13:37
a5954e,UAL1612 ,United States,1751325216.0,1751325216,-86.6291,42.5789,5097.78,False,183.79,255.57,-11.38,,5303.52,7641,False,0,2025-06-30 23:13:37
abacb6,SCX9026 ,United States,1751325216.0,1751325217,-83.5206,30.6769,12192.0,False,224.68,309.7,0.0,,12854.94,6055,False,0,2025-06-30 23:13:37
a6aec4,N53HA   ,United States,1751325178.0,1751325178,-100.6342,39.1726,12077.7,False,220.09,262.34,-2.6,,12801.6,,False,0,2025-06-30 23:13:37
a22248,N2368P  ,United States,1751325216.0,1751325216,-80.9947,29.2104,91.44,False,18.89,150.64,0.0,,106.68,,False,0,2025-06-30 23:13:37
acdfab,DAL2379 ,United States,1751325216.0,1751325216,-84.4568,33.732,2834.64,False,126.57,90.93,-8.78,,2979.42,5234,False,0,2025-06-30 23:13:37
a3685d,JANET15 ,United States,1751325216.0,1751325216,-115.3538,36.1937,3992.88,False,153.27,289.41,17.88,,4198.62,,False,0,2025-06-30 23:13:37
a2ded8,SWA3931 ,United States,1751325216.0,1751325216,-104.6593,39.9332,1943.1,False,86.43,179.32,-3.58,,2057.4,4102,False,0,2025-06-30 23:13:37
aae32c,N800PK  ,United States,1751325216.0,1751325217,-101.5714,39.0224,8221.98,False,149.56,113.3,0.33,,8663.94,,False,0,2025-06-30 23:13:37
a2355d,SKW3632 ,United States,1751325216.0,1751325216,-119.0025,34.3769,5151.12,False,181.74,144.33,-8.78,,5402.58,3611,False,0,2025-06-30 23:13:37
a72533,N56GM   ,United States,1751325066.0,1751325066,-90.5388,32.5787,7620.0,False,146.73,13.79,0.0,,8077.2,7235,False,0,2025-06-30 23:13:37
adeca5,AAL1522 ,United States,1751325216.0,1751325216,-80.8018,35.0723,3032.76,False,153.87,320.56,0.0,,3177.54,1617,False,0,2025-06-30 23:13:37
a2228b,ASA266  ,United States,1751325216.0,1751325216,-124.6076,48.9536,10668.0,False,237.84,144.42,0.0,,11033.76,3431,False,0,2025-06-30 23:13:37
aad012,UAL880  ,United States,1751325212.0,1751325214,-93.8288,32.43,10058.4,False,264.24,31.06,0.0,,10675.62,4045,False,0,2025-06-30 23:13:37
abacd2,UAL624  ,United States,1751325216.0,1751325216,-102.5806,36.3404,11574.78,False,236.74,352.26,0.0,,12192.0,1456,False,0,2025-06-30 23:13:37
a47597,DAL1398 ,United States,1751325102.0,1751325102,-71.0047,42.3739,,True,1.8,199.69,,,,5634,False,0,2025-06-30 23:13:37
ab0361,AAL1826 ,United States,1751325217.0,1751325217,-89.5603,42.4663,7978.14,False,192.58,187.68,2.6,,8282.94,3173,False,0,2025-06-30 23:13:37
abf008,SWA4541 ,United States,1751325216.0,1751325216,-90.0139,41.119,6393.18,False,229.38,84.72,1.3,,6652.26,3020,False,0,2025-06-30 23:13:37
a3426d,SFE2    ,United States,1751325150.0,1751325150,-98.1667,30.7589,495.3,False,46.31,40.95,2.28,,518.16,,False,0,2025-06-30 23:13:37
a4d838,DAL134  ,United States,1751325217.0,1751325217,-76.712,44.2999,11277.6,False,260.44,65.87,0.0,,11833.86,6575,False,0,2025-06-30 23:13:37
accccd,N9238P  ,United States,1751325216.0,1751325216,-120.8991,38.1718,1402.08,False,69.21,212.86,-2.28,,1424.94,,False,0,2025-06-30 23:13:37
ac234f,UAL2621 ,United States,1751325216.0,1751325216,-88.8919,35.2937,10980.42,False,235.16,244.33,0.0,,11650.98,0535,False,0,2025-06-30 23:13:37
a35592,JBU1880 ,United States,1751325216.0,1751325216,-77.1365,38.5181,3360.42,False,166.65,16.87,-2.6,,3520.44,2305,False,0,2025-06-30 23:13:37
ac101f,SWA1905 ,United States,1751325216.0,1751325217,-117.8047,34.0116,2644.14,False,140.89,263.29,-5.85,,2750.82,3253,False,0,2025-06-30 23:13:37
a39bfa,UAL8197 ,United States,1751325216.0,1751325217,-85.6997,42.5393,11582.4,False,210.42,269.44,0.0,,12100.56,2216,False,0,2025-06-30 23:13:37
ae5000,SHWK424 ,United States,1751325215.0,1751325215,-117.1265,32.5688,121.92,False,36.33,282.26,1.63,,76.2,,False,0,2025-06-30 23:13:37
ac3688,SWA2840 ,United States,1751325216.0,1751325216,-100.8397,38.5338,10668.0,False,250.13,115.46,0.33,,11247.12,,False,0,2025-06-30 23:13:37
a59529,N459SP  ,United States,1751325217.0,1751325217,-95.9801,32.924,1676.4,False,46.48,174.92,0.65,,1752.6,1200,False,0,2025-06-30 23:13:37
a4755c,N387AS  ,United States,1751325185.0,1751325185,-97.5932,37.8243,2103.12,False,127.14,103.81,-8.78,,2179.32,,False,0,2025-06-30 23:13:37
a1abfc,N20693  ,United States,1751325022.0,1751325110,-88.9756,44.2032,868.68,False,40.8,174.94,0.0,,822.96,,False,0,2025-06-30 23:13:37
a3689e,DAL381  ,United States,1751325217.0,1751325217,-99.3151,30.8591,9334.5,False,248.1,97.63,-13.98,,9944.1,1773,False,0,2025-06-30 23:13:37
